"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3181:21:00","21.066","21.070","21.154","20.977"
"3181:22:00","21.067","21.070","21.151","20.978"
"3181:23:00","21.068","21.071","21.152","20.978"
"3181:24:00","21.064","21.071","21.151","20.978"
"3181:25:00","21.067","21.072","21.150","20.978"
"3181:25:00","21.067","21.072","21.150","20.978"
"3181:26:00","21.067","21.071","21.147","20.975"
"3181:27:00","21.066","21.069","21.146","20.972"
"3181:28:00","21.066","21.070","21.145","20.971"
"3181:29:00","21.064","21.069","21.141","20.967"
"3181:30:00","21.063","21.069","21.139","20.965"
"3181:31:00","21.063","21.069","21.138","20.965"
"3181:32:00","21.060","21.069","21.135","20.966"
"3181:33:00","21.061","21.067","21.136","20.965"
"3181:34:00","21.060","21.066","21.138","20.965"
"3181:35:00","21.061","21.067","21.138","20.964"
"3181:36:00","21.060","21.065","21.135","20.964"
"3181:37:00","21.061","21.067","21.132","20.961"
"3181:38:00","21.060","21.065","21.132","20.961"
"3181:39:00","21.059","21.066","21.134","20.960"
"3181:40:00","21.061","21.066","21.133","20.962"
"3181:41:00","21.058","21.064","21.129","20.963"
"3181:42:00","21.058","21.063","21.129","20.958"
"3181:43:00","21.059","21.063","21.125","20.958"
"3181:44:00","21.058","21.065","21.123","20.959"
"3181:45:00","21.058","21.062","21.121","20.959"
"3181:45:00","21.058","21.062","21.121","20.959"
"3181:46:00","21.057","21.061","21.124","20.960"
"3181:47:00","21.056","21.061","21.122","20.963"
"3181:48:00","21.056","21.061","21.119","20.959"
"3181:49:00","21.055","21.061","21.118","20.957"
"3181:50:00","21.055","21.059","21.116","20.955"
"3181:51:00","21.053","21.060","21.114","20.955"
"3181:52:00","21.054","21.059","21.114","20.955"
"3181:53:00","21.055","21.059","21.113","20.954"
"3181:54:00","21.054","21.057","21.115","20.951"
"3181:55:00","21.052","21.056","21.115","20.951"
"3181:56:00","21.053","21.057","21.116","20.952"
"3181:57:00","21.052","21.055","21.119","20.953"
"3181:58:00","21.053","21.055","21.120","20.953"
"3181:59:00","21.054","21.057","21.119","20.957"
"3182:00:00","21.055","21.058","21.120","20.957"
"3182:01:00","21.055","21.058","21.123","20.961"
"3182:02:00","21.056","21.060","21.126","20.963"
"3182:03:00","21.054","21.059","21.130","20.962"
"3182:04:00","21.054","21.060","21.131","20.961"
"3182:05:00","21.055","21.061","21.131","20.961"
"3182:05:00","21.055","21.061","21.131","20.961"
"3182:06:00","21.057","21.060","21.129","20.964"
