"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3260:12:00","21.161","21.184","21.259","21.081"
"3260:13:00","21.161","21.182","21.259","21.082"
"3260:14:00","21.162","21.182","21.254","21.078"
"3260:15:00","21.162","21.181","21.252","21.077"
"3260:16:00","21.160","21.181","21.252","21.078"
"3260:17:00","21.160","21.181","21.251","21.078"
"3260:18:00","21.162","21.181","21.255","21.077"
"3260:19:00","21.160","21.181","21.253","21.076"
"3260:20:00","21.160","21.180","21.256","21.076"
"3260:21:00","21.161","21.181","21.256","21.076"
"3260:22:00","21.162","21.181","21.255","21.076"
"3260:23:00","21.164","21.181","21.257","21.077"
"3260:24:00","21.162","21.181","21.259","21.074"
"3260:25:00","21.162","21.182","21.257","21.075"
"3260:25:00","21.162","21.182","21.257","21.075"
"3260:26:00","21.161","21.181","21.255","21.075"
"3260:27:00","21.160","21.179","21.256","21.075"
"3260:28:00","21.161","21.180","21.255","21.076"
"3260:29:00","21.163","21.180","21.258","21.078"
"3260:30:00","21.162","21.180","21.260","21.078"
"3260:31:00","21.161","21.178","21.259","21.078"
"3260:32:00","21.161","21.182","21.260","21.080"
"3260:33:00","21.163","21.183","21.259","21.080"
"3260:34:00","21.162","21.181","21.259","21.080"
"3260:35:00","21.162","21.182","21.262","21.079"
"3260:36:00","21.164","21.182","21.262","21.081"
"3260:37:00","21.165","21.184","21.260","21.083"
"3260:38:00","21.164","21.185","21.261","21.082"
"3260:39:00","21.164","21.183","21.264","21.081"
"3260:40:00","21.161","21.182","21.266","21.083"
"3260:41:00","21.165","21.183","21.263","21.081"
"3260:42:00","21.165","21.184","21.265","21.084"
"3260:43:00","21.163","21.183","21.264","21.082"
"3260:44:00","21.162","21.183","21.264","21.082"
"3260:45:00","21.161","21.184","21.262","21.082"
"3260:45:00","21.161","21.184","21.262","21.082"
"3260:46:00","21.161","21.183","21.260","21.082"
"3260:47:00","21.163","21.183","21.261","21.083"
"3260:48:00","21.164","21.185","21.263","21.083"
"3260:49:00","21.164","21.185","21.261","21.082"
"3260:50:00","21.164","21.184","21.260","21.081"
"3260:51:00","21.164","21.183","21.262","21.081"
"3260:52:00","21.162","21.183","21.262","21.081"
"3260:53:00","21.162","21.183","21.263","21.082"
"3260:54:00","21.163","21.182","21.260","21.079"
"3260:55:00","21.165","21.181","21.260","21.076"
"3260:56:00","21.164","21.182","21.261","21.076"
"3260:57:00","21.163","21.179","21.261","21.077"
"3260:58:00","21.164","21.181","21.263","21.078"
"3260:59:00","21.165","21.181","21.265","21.078"
"3261:00:00","21.164","21.180","21.263","21.077"
"3261:01:00","21.163","21.180","21.261","21.077"
"3261:02:00","21.164","21.181","21.260","21.076"
"3261:03:00","21.163","21.181","21.264","21.077"
"3261:04:00","21.164","21.180","21.263","21.079"
"3261:05:00","21.164","21.182","21.265","21.080"
"3261:05:00","21.164","21.182","21.265","21.080"
"3261:06:00","21.164","21.181","21.263","21.078"
"3261:07:00","21.165","21.181","21.264","21.080"
"3261:08:00","21.164","21.182","21.266","21.080"
"3261:09:00","21.164","21.185","21.268","21.081"
"3261:10:00","21.164","21.183","21.268","21.081"
"3261:11:00","21.164","21.183","21.268","21.079"
"3261:12:00","21.164","21.183","21.268","21.080"
"3261:13:00","21.165","21.184","21.267","21.081"
"3261:14:00","21.163","21.184","21.267","21.082"
"3261:15:00","21.163","21.183","21.265","21.081"
"3261:16:00","21.162","21.184","21.266","21.081"
"3261:17:00","21.163","21.180","21.263","21.082"
"3261:18:00","21.162","21.183","21.264","21.080"
"3261:19:00","21.162","21.181","21.259","21.079"
"3261:20:00","21.161","21.182","21.260","21.080"
"3261:21:00","21.161","21.183","21.262","21.081"
"3261:22:00","21.160","21.182","21.261","21.080"
"3261:23:00","21.162","21.183","21.261","21.078"
"3261:24:00","21.163","21.183","21.260","21.076"
"3261:25:00","21.161","21.183","21.261","21.076"
"3261:25:00","21.161","21.183","21.261","21.076"
"3261:26:00","21.164","21.182","21.261","21.080"
"3261:27:00","21.163","21.183","21.262","21.079"
"3261:28:00","21.162","21.184","21.259","21.081"
"3261:29:00","21.162","21.183","21.259","21.079"
"3261:30:00","21.162","21.182","21.261","21.079"
"3261:31:00","21.162","21.182","21.259","21.077"
"3261:32:00","21.162","21.183","21.260","21.077"
"3261:33:00","21.161","21.184","21.260","21.080"
"3261:34:00","21.161","21.185","21.260","21.080"
"3261:35:00","21.163","21.183","21.262","21.081"
"3261:36:00","21.164","21.184","21.264","21.082"
"3261:37:00","21.164","21.184","21.263","21.081"
"3261:38:00","21.164","21.182","21.260","21.081"
"3261:39:00","21.164","21.184","21.257","21.078"
"3261:40:00","21.163","21.185","21.258","21.078"
"3261:41:00","21.164","21.183","21.260","21.079"
"3261:42:00","21.163","21.182","21.258","21.078"
"3261:43:00","21.160","21.181","21.258","21.075"
"3261:44:00","21.162","21.180","21.257","21.074"
"3261:45:00","21.163","21.181","21.260","21.074"
"3261:45:00","21.163","21.181","21.260","21.074"
"3261:46:00","21.163","21.181","21.261","21.075"
"3261:47:00","21.161","21.180","21.262","21.076"
"3261:48:00","21.162","21.179","21.261","21.076"
"3261:49:00","21.163","21.181","21.265","21.077"
"3261:50:00","21.162","21.180","21.263","21.078"
"3261:51:00","21.165","21.181","21.264","21.079"
"3261:52:00","21.163","21.183","21.264","21.079"
"3261:53:00","21.162","21.182","21.261","21.077"
"3261:54:00","21.163","21.182","21.263","21.078"
"3261:55:00","21.162","21.185","21.264","21.079"
"3261:56:00","21.163","21.184","21.262","21.081"
"3261:57:00","21.161","21.182","21.261","21.079"
"3261:58:00","21.161","21.182","21.261","21.081"
"3261:59:00","21.163","21.183","21.261","21.079"
"3262:00:00","21.163","21.182","21.263","21.076"
"3262:01:00","21.162","21.181","21.264","21.077"
"3262:02:00","21.163","21.180","21.264","21.077"
"3262:03:00","21.162","21.181","21.260","21.078"
"3262:04:00","21.163","21.180","21.263","21.076"
"3262:05:00","21.164","21.182","21.264","21.076"
"3262:05:00","21.164","21.182","21.264","21.076"
"3262:06:00","21.164","21.181","21.262","21.077"
"3262:07:00","21.163","21.182","21.264","21.078"
"3262:08:00","21.164","21.183","21.263","21.081"
"3262:09:00","21.163","21.182","21.266","21.081"
"3262:10:00","21.164","21.184","21.265","21.084"
"3262:11:00","21.163","21.185","21.267","21.084"
"3262:12:00","21.163","21.183","21.265","21.085"
"3262:13:00","21.164","21.183","21.265","21.083"
"3262:14:00","21.163","21.184","21.263","21.082"
"3262:15:00","21.165","21.184","21.265","21.084"
"3262:16:00","21.164","21.184","21.266","21.085"
"3262:17:00","21.165","21.187","21.267","21.084"
"3262:18:00","21.164","21.186","21.270","21.085"
"3262:19:00","21.167","21.186","21.273","21.083"
"3262:20:00","21.165","21.185","21.272","21.086"
"3262:21:00","21.168","21.186","21.273","21.087"
"3262:22:00","21.167","21.187","21.278","21.086"
"3262:23:00","21.167","21.188","21.275","21.088"
"3262:24:00","21.168","21.189","21.274","21.088"
"3262:25:00","21.167","21.190","21.272","21.086"
"3262:25:00","21.167","21.190","21.272","21.086"
"3262:26:00","21.167","21.190","21.270","21.087"
"3262:27:00","21.168","21.189","21.272","21.088"
"3262:28:00","21.168","21.188","21.270","21.087"
"3262:29:00","21.167","21.186","21.267","21.084"
"3262:30:00","21.167","21.188","21.270","21.084"
"3262:31:00","21.166","21.188","21.272","21.085"
"3262:32:00","21.165","21.188","21.274","21.088"
"3262:33:00","21.166","21.188","21.277","21.091"
"3262:34:00","21.169","21.191","21.278","21.091"
"3262:35:00","21.171","21.190","21.282","21.093"
"3262:36:00","21.168","21.190","21.284","21.095"
"3262:37:00","21.170","21.191","21.285","21.097"
"3262:38:00","21.174","21.194","21.287","21.098"
"3262:39:00","21.174","21.195","21.288","21.099"
"3262:40:00","21.176","21.195","21.288","21.098"
"3262:41:00","21.176","21.197","21.288","21.101"
"3262:42:00","21.177","21.197","21.288","21.100"
"3262:43:00","21.179","21.196","21.290","21.099"
"3262:44:00","21.179","21.198","21.291","21.098"
"3262:45:00","21.179","21.197","21.290","21.098"
"3262:45:00","21.179","21.197","21.290","21.098"
"3262:46:00","21.177","21.196","21.290","21.095"
"3262:47:00","21.176","21.198","21.288","21.095"
"3262:48:00","21.177","21.196","21.287","21.095"
"3262:49:00","21.175","21.196","21.285","21.097"
"3262:50:00","21.175","21.197","21.288","21.096"
"3262:51:00","21.174","21.197","21.286","21.095"
"3262:52:00","21.175","21.197","21.286","21.099"
"3262:53:00","21.175","21.198","21.281","21.097"
"3262:54:00","21.175","21.197","21.280","21.096"
"3262:55:00","21.174","21.197","21.281","21.094"
"3262:56:00","21.175","21.197","21.280","21.097"
"3262:57:00","21.176","21.198","21.281","21.098"
"3262:58:00","21.181","21.202","21.279","21.101"
"3262:59:00","21.184","21.206","21.277","21.104"
"3263:00:00","21.188","21.212","21.276","21.106"
"3263:01:00","21.195","21.216","21.274","21.111"
"3263:02:00","21.198","21.219","21.271","21.113"
"3263:03:00","21.199","21.224","21.268","21.115"
"3263:04:00","21.199","21.226","21.269","21.113"
"3263:05:00","21.203","21.226","21.271","21.116"
"3263:05:00","21.203","21.226","21.271","21.116"
"3263:06:00","21.206","21.228","21.268","21.115"
"3263:07:00","21.208","21.231","21.266","21.116"
"3263:08:00","21.206","21.229","21.267","21.115"
"3263:09:00","21.206","21.231","21.265","21.115"
"3263:10:00","21.207","21.229","21.265","21.114"
"3263:11:00","21.206","21.229","21.263","21.113"
"3263:12:00","21.205","21.228","21.262","21.109"
"3263:13:00","21.204","21.226","21.263","21.110"
"3263:14:00","21.207","21.226","21.264","21.112"
"3263:15:00","21.209","21.226","21.265","21.111"
"3263:16:00","21.209","21.227","21.267","21.113"
"3263:17:00","21.211","21.231","21.267","21.115"
"3263:18:00","21.214","21.232","21.272","21.119"
"3263:19:00","21.220","21.238","21.273","21.124"
"3263:20:00","21.223","21.243","21.274","21.128"
"3263:21:00","21.228","21.250","21.278","21.132"
"3263:22:00","21.235","21.255","21.281","21.136"
"3263:23:00","21.240","21.262","21.282","21.143"
"3263:24:00","21.247","21.267","21.284","21.146"
"3263:25:00","21.250","21.274","21.287","21.151"
"3263:25:00","21.250","21.274","21.287","21.151"
"3263:26:00","21.257","21.282","21.288","21.154"
"3263:27:00","21.265","21.289","21.292","21.161"
"3263:28:00","21.272","21.295","21.294","21.166"
"3263:29:00","21.280","21.301","21.294","21.173"
"3263:30:00","21.287","21.308","21.298","21.178"
"3263:31:00","21.291","21.312","21.299","21.182"
"3263:32:00","21.301","21.319","21.299","21.187"
"3263:33:00","21.308","21.326","21.300","21.192"
"3263:34:00","21.313","21.331","21.303","21.196"
"3263:35:00","21.320","21.339","21.308","21.201"
"3263:36:00","21.327","21.345","21.311","21.208"
"3263:37:00","21.335","21.354","21.315","21.218"
"3263:38:00","21.341","21.359","21.318","21.225"
"3263:39:00","21.345","21.366","21.323","21.229"
"3263:40:00","21.351","21.373","21.327","21.232"
"3263:41:00","21.360","21.381","21.331","21.236"
"3263:42:00","21.365","21.386","21.335","21.241"
"3263:43:00","21.369","21.391","21.339","21.244"
"3263:44:00","21.374","21.398","21.344","21.249"
"3263:45:00","21.383","21.405","21.347","21.256"
"3263:45:00","21.383","21.405","21.347","21.256"
"3263:46:00","21.388","21.411","21.354","21.260"
"3263:47:00","21.395","21.417","21.361","21.267"
"3263:48:00","21.402","21.422","21.368","21.273"
"3263:49:00","21.407","21.429","21.371","21.279"
"3263:50:00","21.414","21.433","21.373","21.280"
"3263:51:00","21.418","21.440","21.378","21.286"
"3263:52:00","21.425","21.447","21.385","21.291"
"3263:53:00","21.433","21.452","21.390","21.296"
"3263:54:00","21.440","21.458","21.397","21.300"
"3263:55:00","21.443","21.464","21.401","21.304"
"3263:56:00","21.447","21.469","21.408","21.309"
"3263:57:00","21.455","21.475","21.415","21.311"
"3263:58:00","21.458","21.481","21.423","21.317"
"3263:59:00","21.466","21.486","21.427","21.323"
"3264:00:00","21.471","21.493","21.434","21.326"
"3264:01:00","21.474","21.498","21.440","21.331"
"3264:02:00","21.481","21.503","21.448","21.333"
"3264:03:00","21.487","21.510","21.453","21.340"
"3264:04:00","21.491","21.514","21.459","21.344"
"3264:05:00","21.497","21.517","21.467","21.350"
"3264:05:00","21.497","21.517","21.467","21.350"
"3264:06:00","21.503","21.522","21.476","21.352"
"3264:07:00","21.508","21.528","21.480","21.359"
"3264:08:00","21.513","21.532","21.482","21.361"
"3264:09:00","21.519","21.537","21.491","21.362"
"3264:10:00","21.522","21.547","21.497","21.368"
"3264:11:00","21.526","21.550","21.504","21.370"
"3264:12:00","21.531","21.555","21.509","21.375"
"3264:13:00","21.538","21.561","21.512","21.381"
"3264:14:00","21.542","21.566","21.518","21.384"
"3264:15:00","21.546","21.570","21.523","21.386"
"3264:16:00","21.550","21.574","21.529","21.389"
"3264:17:00","21.555","21.579","21.537","21.393"
"3264:18:00","21.560","21.585","21.543","21.396"
"3264:19:00","21.563","21.587","21.552","21.400"
"3264:20:00","21.569","21.592","21.562","21.404"
"3264:21:00","21.573","21.597","21.564","21.406"
"3264:22:00","21.577","21.602","21.570","21.410"
"3264:23:00","21.582","21.609","21.575","21.411"
"3264:24:00","21.587","21.611","21.582","21.411"
"3264:25:00","21.589","21.614","21.584","21.415"
"3264:25:00","21.589","21.614","21.584","21.415"
"3264:26:00","21.589","21.617","21.589","21.416"
"3264:27:00","21.587","21.616","21.597","21.416"
"3264:28:00","21.589","21.614","21.602","21.417"
"3264:29:00","21.588","21.609","21.608","21.416"
"3264:30:00","21.584","21.609","21.613","21.414"
"3264:31:00","21.578","21.605","21.620","21.410"
"3264:32:00","21.578","21.602","21.626","21.407"
"3264:33:00","21.574","21.597","21.631","21.401"
"3264:34:00","21.570","21.592","21.634","21.398"
"3264:35:00","21.567","21.588","21.639","21.394"
"3264:36:00","21.564","21.585","21.641","21.391"
"3264:37:00","21.562","21.584","21.647","21.387"
"3264:38:00","21.561","21.584","21.652","21.388"
"3264:39:00","21.558","21.582","21.658","21.388"
"3264:40:00","21.559","21.583","21.660","21.390"
"3264:41:00","21.559","21.584","21.661","21.392"
"3264:42:00","21.558","21.585","21.663","21.395"
"3264:43:00","21.560","21.587","21.666","21.397"
"3264:44:00","21.561","21.592","21.677","21.408"
"3264:45:00","21.565","21.598","21.682","21.415"
"3264:45:00","21.565","21.598","21.682","21.415"
"3264:46:00","21.570","21.603","21.682","21.420"
"3264:47:00","21.576","21.608","21.686","21.425"
"3264:48:00","21.580","21.613","21.686","21.426"
"3264:49:00","21.584","21.617","21.687","21.428"
"3264:50:00","21.589","21.624","21.690","21.432"
"3264:51:00","21.592","21.628","21.691","21.436"
"3264:52:00","21.596","21.632","21.692","21.439"
"3264:53:00","21.600","21.637","21.694","21.447"
"3264:54:00","21.604","21.644","21.694","21.448"
"3264:55:00","21.609","21.649","21.695","21.450"
"3264:56:00","21.613","21.652","21.694","21.452"
"3264:57:00","21.616","21.657","21.690","21.455"
"3264:58:00","21.621","21.662","21.693","21.457"
"3264:59:00","21.627","21.665","21.691","21.459"
"3265:00:00","21.630","21.670","21.691","21.465"
"3265:01:00","21.631","21.676","21.695","21.467"
"3265:02:00","21.634","21.677","21.694","21.470"
"3265:03:00","21.637","21.684","21.695","21.469"
"3265:04:00","21.641","21.686","21.696","21.473"
"3265:05:00","21.644","21.690","21.693","21.479"
"3265:05:00","21.644","21.690","21.693","21.479"
"3265:06:00","21.649","21.690","21.692","21.480"
"3265:07:00","21.651","21.692","21.693","21.478"
"3265:08:00","21.656","21.697","21.693","21.480"
"3265:09:00","21.659","21.701","21.690","21.481"
"3265:10:00","21.660","21.704","21.690","21.482"
"3265:11:00","21.660","21.705","21.688","21.481"
"3265:12:00","21.664","21.708","21.689","21.483"
"3265:13:00","21.668","21.712","21.690","21.482"
"3265:14:00","21.669","21.711","21.688","21.478"
"3265:15:00","21.671","21.715","21.687","21.477"
"3265:16:00","21.675","21.719","21.688","21.479"
"3265:17:00","21.679","21.722","21.691","21.482"
"3265:18:00","21.681","21.728","21.693","21.490"
"3265:19:00","21.683","21.729","21.694","21.493"
"3265:20:00","21.684","21.730","21.698","21.494"
"3265:21:00","21.689","21.730","21.696","21.494"
"3265:22:00","21.690","21.733","21.699","21.496"
"3265:23:00","21.691","21.735","21.703","21.500"
"3265:24:00","21.694","21.739","21.705","21.503"
"3265:25:00","21.695","21.738","21.705","21.500"
"3265:25:00","21.695","21.738","21.705","21.500"
"3265:26:00","21.700","21.744","21.706","21.502"
"3265:27:00","21.700","21.745","21.707","21.504"
"3265:28:00","21.703","21.747","21.710","21.505"
"3265:29:00","21.704","21.752","21.711","21.509"
"3265:30:00","21.705","21.753","21.712","21.517"
"3265:31:00","21.707","21.755","21.717","21.521"
"3265:32:00","21.712","21.758","21.720","21.522"
"3265:33:00","21.714","21.762","21.722","21.521"
"3265:34:00","21.716","21.764","21.726","21.519"
"3265:35:00","21.719","21.768","21.730","21.521"
"3265:36:00","21.722","21.771","21.733","21.521"
"3265:37:00","21.726","21.773","21.736","21.524"
"3265:38:00","21.730","21.778","21.744","21.530"
"3265:39:00","21.733","21.780","21.747","21.535"
"3265:40:00","21.735","21.783","21.754","21.537"
"3265:41:00","21.736","21.784","21.756","21.538"
"3265:42:00","21.738","21.785","21.758","21.541"
"3265:43:00","21.744","21.789","21.761","21.546"
"3265:44:00","21.743","21.791","21.765","21.552"
"3265:45:00","21.742","21.793","21.768","21.554"
"3265:45:00","21.742","21.793","21.768","21.554"
"3265:46:00","21.744","21.799","21.775","21.556"
"3265:47:00","21.745","21.801","21.777","21.558"
"3265:48:00","21.749","21.802","21.776","21.557"
"3265:49:00","21.750","21.806","21.781","21.561"
"3265:50:00","21.755","21.807","21.783","21.561"
"3265:51:00","21.756","21.810","21.788","21.564"
"3265:52:00","21.759","21.811","21.789","21.561"
"3265:53:00","21.762","21.812","21.791","21.563"
"3265:54:00","21.765","21.813","21.799","21.567"
"3265:55:00","21.767","21.818","21.804","21.569"
"3265:56:00","21.770","21.823","21.805","21.569"
"3265:57:00","21.773","21.826","21.807","21.572"
"3265:58:00","21.776","21.826","21.812","21.571"
"3265:59:00","21.778","21.830","21.814","21.569"
"3266:00:00","21.780","21.831","21.814","21.572"
"3266:01:00","21.783","21.834","21.819","21.573"
"3266:02:00","21.783","21.833","21.818","21.573"
"3266:03:00","21.783","21.836","21.824","21.579"
"3266:04:00","21.786","21.840","21.823","21.583"
"3266:05:00","21.787","21.842","21.825","21.583"
"3266:05:00","21.787","21.842","21.825","21.583"
"3266:06:00","21.793","21.844","21.828","21.586"
"3266:07:00","21.792","21.847","21.828","21.588"
"3266:08:00","21.794","21.848","21.831","21.586"
"3266:09:00","21.795","21.850","21.832","21.589"
"3266:10:00","21.797","21.851","21.832","21.591"
"3266:11:00","21.798","21.853","21.834","21.593"
"3266:12:00","21.800","21.856","21.836","21.597"
"3266:13:00","21.803","21.856","21.838","21.595"
"3266:14:00","21.803","21.861","21.837","21.598"
"3266:15:00","21.804","21.862","21.840","21.599"
"3266:16:00","21.806","21.866","21.842","21.603"
"3266:17:00","21.810","21.869","21.843","21.605"
"3266:18:00","21.812","21.870","21.849","21.612"
"3266:19:00","21.813","21.871","21.856","21.616"
"3266:20:00","21.816","21.874","21.857","21.610"
"3266:21:00","21.817","21.874","21.856","21.608"
"3266:22:00","21.818","21.875","21.858","21.607"
"3266:23:00","21.819","21.875","21.856","21.611"
"3266:24:00","21.820","21.877","21.859","21.611"
"3266:25:00","21.820","21.879","21.860","21.611"
"3266:25:00","21.820","21.879","21.860","21.611"
"3266:26:00","21.819","21.880","21.863","21.613"
"3266:27:00","21.822","21.884","21.863","21.618"
"3266:28:00","21.822","21.887","21.865","21.620"
"3266:29:00","21.824","21.890","21.865","21.623"
"3266:30:00","21.826","21.890","21.864","21.621"
"3266:31:00","21.826","21.888","21.863","21.617"
"3266:32:00","21.827","21.889","21.863","21.615"
"3266:33:00","21.829","21.891","21.864","21.616"
"3266:34:00","21.829","21.892","21.867","21.621"
"3266:35:00","21.830","21.894","21.872","21.621"
"3266:36:00","21.833","21.894","21.877","21.621"
"3266:37:00","21.835","21.897","21.876","21.623"
"3266:38:00","21.835","21.897","21.877","21.625"
"3266:39:00","21.836","21.896","21.876","21.623"
"3266:40:00","21.836","21.899","21.875","21.624"
"3266:41:00","21.838","21.899","21.878","21.624"
"3266:42:00","21.838","21.898","21.882","21.633"
"3266:43:00","21.839","21.898","21.883","21.627"
"3266:44:00","21.839","21.899","21.878","21.624"
"3266:45:00","21.840","21.899","21.879","21.627"
"3266:45:00","21.840","21.899","21.879","21.627"
"3266:46:00","21.842","21.903","21.883","21.632"
"3266:47:00","21.842","21.905","21.883","21.630"
"3266:48:00","21.842","21.907","21.886","21.629"
"3266:49:00","21.846","21.909","21.886","21.628"
"3266:50:00","21.845","21.911","21.890","21.631"
"3266:51:00","21.848","21.910","21.891","21.632"
"3266:52:00","21.849","21.912","21.893","21.629"
"3266:53:00","21.854","21.915","21.892","21.631"
"3266:54:00","21.856","21.916","21.897","21.635"
"3266:55:00","21.854","21.919","21.896","21.640"
"3266:56:00","21.857","21.921","21.897","21.642"
"3266:57:00","21.860","21.922","21.902","21.644"
"3266:58:00","21.860","21.920","21.905","21.646"
"3266:59:00","21.858","21.918","21.908","21.642"
"3267:00:00","21.860","21.924","21.907","21.644"
"3267:01:00","21.861","21.923","21.908","21.645"
"3267:02:00","21.862","21.925","21.910","21.645"
"3267:03:00","21.862","21.930","21.911","21.647"
"3267:04:00","21.864","21.931","21.912","21.646"
"3267:05:00","21.866","21.933","21.912","21.643"
"3267:05:00","21.866","21.933","21.912","21.643"
"3267:06:00","21.866","21.931","21.910","21.638"
"3267:07:00","21.865","21.930","21.912","21.642"
"3267:08:00","21.868","21.932","21.913","21.639"
"3267:09:00","21.868","21.935","21.915","21.641"
"3267:10:00","21.869","21.937","21.917","21.649"
"3267:11:00","21.867","21.936","21.918","21.655"
"3267:12:00","21.869","21.937","21.918","21.652"
"3267:13:00","21.870","21.936","21.916","21.656"
"3267:14:00","21.872","21.939","21.919","21.654"
"3267:15:00","21.873","21.939","21.922","21.656"
"3267:16:00","21.873","21.940","21.922","21.654"
"3267:17:00","21.873","21.941","21.922","21.650"
"3267:18:00","21.873","21.942","21.922","21.651"
"3267:19:00","21.875","21.943","21.921","21.651"
"3267:20:00","21.876","21.943","21.922","21.652"
"3267:21:00","21.875","21.944","21.922","21.652"
"3267:22:00","21.876","21.947","21.928","21.659"
"3267:23:00","21.875","21.949","21.925","21.661"
"3267:24:00","21.875","21.947","21.922","21.660"
"3267:25:00","21.877","21.945","21.921","21.658"
"3267:25:00","21.877","21.945","21.921","21.658"
"3267:26:00","21.876","21.944","21.927","21.660"
"3267:27:00","21.876","21.945","21.927","21.658"
"3267:28:00","21.876","21.951","21.924","21.659"
"3267:29:00","21.880","21.951","21.927","21.663"
"3267:30:00","21.880","21.954","21.929","21.665"
"3267:31:00","21.881","21.955","21.930","21.666"
"3267:32:00","21.882","21.955","21.929","21.669"
"3267:33:00","21.884","21.955","21.929","21.666"
"3267:34:00","21.884","21.957","21.932","21.666"
"3267:35:00","21.884","21.957","21.935","21.666"
"3267:36:00","21.887","21.958","21.933","21.665"
"3267:37:00","21.887","21.960","21.934","21.669"
"3267:38:00","21.886","21.961","21.934","21.669"
"3267:39:00","21.887","21.960","21.933","21.667"
"3267:40:00","21.888","21.959","21.934","21.669"
"3267:41:00","21.889","21.961","21.934","21.671"
"3267:42:00","21.887","21.963","21.935","21.671"
"3267:43:00","21.887","21.965","21.935","21.672"
"3267:44:00","21.886","21.966","21.935","21.676"
"3267:45:00","21.885","21.966","21.938","21.681"
"3267:45:00","21.885","21.966","21.938","21.681"
"3267:46:00","21.885","21.967","21.938","21.683"
"3267:47:00","21.885","21.970","21.937","21.683"
"3267:48:00","21.887","21.969","21.936","21.681"
"3267:49:00","21.886","21.970","21.936","21.679"
"3267:50:00","21.891","21.971","21.937","21.685"
"3267:51:00","21.889","21.970","21.938","21.686"
"3267:52:00","21.889","21.969","21.937","21.686"
"3267:53:00","21.890","21.970","21.936","21.685"
"3267:54:00","21.890","21.971","21.936","21.683"
"3267:55:00","21.893","21.971","21.938","21.683"
"3267:56:00","21.895","21.971","21.937","21.685"
"3267:57:00","21.894","21.971","21.936","21.682"
"3267:58:00","21.894","21.972","21.939","21.686"
"3267:59:00","21.892","21.974","21.939","21.691"
"3268:00:00","21.890","21.974","21.940","21.692"
"3268:01:00","21.892","21.973","21.940","21.687"
"3268:02:00","21.892","21.971","21.943","21.684"
"3268:03:00","21.893","21.971","21.943","21.683"
"3268:04:00","21.894","21.971","21.942","21.684"
"3268:05:00","21.894","21.971","21.941","21.680"
"3268:05:00","21.894","21.971","21.941","21.680"
"3268:06:00","21.895","21.972","21.945","21.679"
"3268:07:00","21.895","21.973","21.944","21.679"
"3268:08:00","21.894","21.975","21.942","21.679"
"3268:09:00","21.897","21.976","21.944","21.678"
"3268:10:00","21.894","21.975","21.948","21.682"
"3268:11:00","21.896","21.975","21.947","21.684"
"3268:12:00","21.895","21.973","21.946","21.684"
"3268:13:00","21.895","21.975","21.946","21.686"
"3268:14:00","21.892","21.974","21.947","21.687"
"3268:15:00","21.894","21.972","21.948","21.680"
"3268:16:00","21.894","21.974","21.944","21.676"
"3268:17:00","21.893","21.976","21.944","21.679"
"3268:18:00","21.894","21.975","21.941","21.680"
"3268:19:00","21.893","21.973","21.942","21.679"
"3268:20:00","21.894","21.968","21.938","21.674"
"3268:21:00","21.893","21.971","21.941","21.670"
"3268:22:00","21.892","21.971","21.936","21.671"
"3268:23:00","21.893","21.973","21.939","21.671"
"3268:24:00","21.895","21.974","21.940","21.671"
"3268:25:00","21.895","21.973","21.942","21.676"
"3268:25:00","21.895","21.973","21.942","21.676"
"3268:26:00","21.895","21.972","21.941","21.677"
"3268:27:00","21.896","21.974","21.940","21.677"
"3268:28:00","21.898","21.972","21.940","21.678"
"3268:29:00","21.898","21.972","21.941","21.677"
"3268:30:00","21.897","21.974","21.940","21.679"
"3268:31:00","21.896","21.974","21.940","21.680"
"3268:32:00","21.899","21.973","21.940","21.680"
"3268:33:00","21.897","21.975","21.940","21.679"
"3268:34:00","21.900","21.978","21.941","21.685"
"3268:35:00","21.897","21.978","21.941","21.686"
"3268:36:00","21.901","21.977","21.941","21.682"
"3268:37:00","21.898","21.976","21.942","21.680"
"3268:38:00","21.900","21.977","21.939","21.677"
"3268:39:00","21.902","21.976","21.938","21.677"
"3268:40:00","21.902","21.978","21.939","21.677"
"3268:41:00","21.905","21.980","21.937","21.684"
"3268:42:00","21.901","21.979","21.941","21.685"
"3268:43:00","21.901","21.980","21.939","21.685"
"3268:44:00","21.899","21.981","21.935","21.681"
"3268:45:00","21.900","21.981","21.938","21.680"
"3268:45:00","21.900","21.981","21.938","21.680"
"3268:46:00","21.901","21.980","21.938","21.676"
"3268:47:00","21.902","21.979","21.938","21.678"
"3268:48:00","21.901","21.979","21.939","21.678"
"3268:49:00","21.901","21.980","21.940","21.678"
"3268:50:00","21.903","21.977","21.939","21.677"
"3268:51:00","21.903","21.980","21.936","21.678"
"3268:52:00","21.900","21.980","21.935","21.679"
"3268:53:00","21.898","21.980","21.934","21.678"
"3268:54:00","21.897","21.980","21.935","21.686"
"3268:55:00","21.899","21.981","21.936","21.687"
"3268:56:00","21.897","21.979","21.937","21.687"
"3268:57:00","21.898","21.979","21.936","21.682"
"3268:58:00","21.898","21.980","21.936","21.679"
"3268:59:00","21.898","21.981","21.933","21.682"
"3269:00:00","21.900","21.983","21.933","21.681"
"3269:01:00","21.899","21.986","21.933","21.686"
"3269:02:00","21.898","21.985","21.936","21.691"
